id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/44163521,Music in America's Cold War Diplomacy. California Studies in 20th-century Music,Music & Letters,2016,10.2307/44163521,article,book-review,jstor,,2016-05-01,2,97,http://www.jstor.org/stable/44163521,Pauline Fairclough; Danielle Fosler-Lussier; Kiril Tomoff,Oxford University Press,eng,366,373,,fosler lussier; soviet; soviet union; cultural; tchaikovsky; americas; cultural presentations; musicians; presentations programme; abroad,5247,8,unigrams; bigrams; trigrams
http://www.jstor.org/stable/965440,Music in London,The Musical Times,1987,10.2307/965440,article,research-article,jstor,,1987-04-01,1730,128,http://www.jstor.org/stable/965440,,Musical Times Publications Ltd.,eng,217,221,,barbican; ravels music; barenboim; covent garden; programme; tracey chadwell; stravinsky; recital; jubilate domino; scarlatti cantata,5787,5,unigrams; bigrams; trigrams
http://www.jstor.org/stable/26548209,Front Matter,The Journal of Modern History,2017,10.2307/26548209,article,misc,jstor,,2017-09-01,3,89,http://www.jstor.org/stable/26548209,,The University of Chicago Press,eng,,,,chicago; modern history; print electronic; university; institutional print; seth koven; koven rutgers; journals division; adam tooze; subscription rates,1999,7,unigrams; bigrams; trigrams
http://www.jstor.org/stable/10.2979/inditheorevi.31.1-2.0191,About the Contributors,Indiana Theory Review,2013,10.2979/inditheorevi.31.1-2.0191,article,research-article,jstor,,2013-10-01,1-2,31,http://www.jstor.org/stable/10.2979/inditheorevi.31.1-2.0191,,"Department of Music Theory, Jacobs School of Music, Indiana University",en,191,192,,music theory; soochow university; assistant professor; cairns; sanchez behar; studia musicological; ira braus; zachary cairns; naples philharmonic; tanglewood music,537,2,unigrams; bigrams; trigrams
http://www.jstor.org/stable/832298,Cybernetics and Music,Perspectives of New Music,1969,10.2307/832298,article,research-article,jstor,,1969-04-01,2,7,http://www.jstor.org/stable/832298,R. Kh. Zaripov; J. G. K. Russell,Perspectives of New Music,eng,115,154,,melody; musical; composition; machine; creativity; melodic; rhythm; sounds; cybernetics; hayess method,18632,40,unigrams; bigrams; trigrams
http://www.jstor.org/stable/40539057,Books Received,Music & Letters,2009,10.2307/40539057,article,misc,jstor,,2009-08-01,3,90,http://www.jstor.org/stable/40539057,,Oxford University Press,eng,531,533,,schneider tutzing; ashgate aldershot; hans schneider; olms hildesheim; hans schneider tutzing; mardaga wavre; francesco buti; georg olms; hildesheim zurich; iannis xenakis,2136,3,unigrams; bigrams; trigrams
http://www.jstor.org/stable/4210400,Review Article,The Slavonic and East European Review,1990,10.2307/4210400,article,book-review,jstor,,1990-07-01,3,68,http://www.jstor.org/stable/4210400,Riitta H. Pittman; Julian Graffy; Geoffrey A. Hosking,Modern Humanities Research Association,eng,556,557,,soviet; vadim abdrashitov; sovetskaia rossiia; graffy; liudmila; vaclav havel; graffy julian; soviet cultural; emigre attests; edinburgh riitta,588,2,unigrams; bigrams; trigrams
http://www.jstor.org/stable/919583,Obituary,The Musical Times,1935,10.2307/919583,article,misc,jstor,,1935-06-01,1108,76,http://www.jstor.org/stable/919583,,Musical Times Publications Ltd.,eng,560,560,,donald tovey; festival; sir donald; moore miss; dan godfrey; apprenti sorcier; musical times; revelry bardic; calvocoressi; aged seventy,1236,1,unigrams; bigrams; trigrams
http://www.jstor.org/stable/4211038,Review Article,The Slavonic and East European Review,1992,10.2307/4211038,article,book-review,jstor,,1992-07-01,3,70,http://www.jstor.org/stable/4211038,Simon Karlinsky; Alexandra Orlova; R. M. Davison,Modern Humanities Research Association,eng,541,544,,aleksandra orlova; composers; tchaikovsky; stenbock fermor; russian; fermor; homosexual; homosexuality; aleksei sofronov; slavonic review,1811,4,unigrams; bigrams; trigrams
http://www.jstor.org/stable/10.1525/jm.2011.28.2.143,"Crowd, Mob, and Nation in <em>Boris Godunov</em>: What Did Musorgsky Think, and Does It Matter?",The Journal of Musicology,2011,10.1525/jm.2011.28.2.143,article,research-article,jstor,,2011-04-01,2,28,http://www.jstor.org/stable/10.1525/jm.2011.28.2.143,Richard Taruskin,University of California Press,en,143,165,,boris godunov; jm280201 indd; karamzin; taruskin; russian; pushkin; moscow; musicology; dmitry; scenes,10471,23,unigrams; bigrams; trigrams
